"","200710A","200710B","200711A","200711B","200712A","200712B","200801A","200801B","200802A","200802B","200803A","200803B","200804A","200804B","200805A","200805B","200806A","200806B","200807A","200808A","200809A","200809B","200810A","200810B","200811A","200811B","200812A","200812B","200901A","200901B","200902A","200902B","200903A","200903B","200904A","200904B","200905A","200905B","200906A","200906B","200907A","200907B","200908A","200908B","200909A","200909B","200910A","200910B","200911A","200911B","200912A","200912B","201001A","201001B","201002A","201002B","201003A","201003B","201004A","201004B","201005A","201005B","201006A","201006B","201007A","201007B","201008A","201008B","201009A","201009B","201010A","201010B","201011A","201011B","201012A","201012B","201101A","201101B","201102A","201102B","201103A","201103B","201104A","201104B","201105A","201105B","201106A","201106B","201107A","201107B","201108A","201108B","201109A","201109B","201110A","201110B","201111A","201111B","201112A","201112B","201201A","201201B","201202A","201202B","201203A","201203B","201204A","201204B","201205A","201205B","201206A","201206B","201207A","201207B","201208A","201208B","201209A","201209B","201210A","201210B","201211A","201211B","201212A","201212B","201301A","201301B","201302A","201302B","201303A","201303B","201304A","201304B","201305A","201305B","201306A","201306B","201307A","201307B","201308A","201308B","201309A","201309B","201310A","201310B","201311A","201311B","201312A","201312B","201401A","201401B","201402A","201402B","201403A","201403B","201404A","201404B","201405A","201405B","201406A","201406B","201407A","201407B","201408A","201408B","201409A","201409B","201410A","201410B","201411A","201411B","201412A","201412B","201501A","201501B","201502A","201502B","201503A","201503B","201504A","201504B","201505A","201505B","201506A","201506B","201507A","201507B","201508A","201508B","201509A","201509B","201510A","201510B","201511A","201511B","201512A","201512B"
"AB.11",1100,0,550,550,0,550,550,550,550,550,550,550,550,550,550,550,550,550,550,400,0,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,0,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,0,550,1100,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,0,550,1100,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,0,550,1100,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
"AB.12",1950,0,1950,1950,1950,0,1950,3900,1950,800,1950,1950,1950,1950,1950,1950,1950,1950,0,1950,0,1950,1950,1950,1950,3900,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,100,1950,1950,1950,1950,1950,1950,1950,1700,1950,1950,1950,1950,1950,1950,1950,1950,3900,1950,0,1950,1950,1950,1950,1950,3900,1950,0,1950,3900,1950,1950,1950,3900,1950,0,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,0,1950,3900,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,3900,1950,0,1950,1950,1950,1950,1950,1950,1950,1950,1950,5850,1950,0,1950,1950,1950,1950,1950,1950,1950,3900,1950,1950,1950,0,1950,3900,1950,0,1950,1950,1950,1950,1950,3900,1950,0,1950,3900,1950,1950,1950,1950,1950,1950,1950,0,1950,1950,1950,3900,1950,0,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,3900,1950,0,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
"AB.3",2900,0,1450,1450,0,1450,1450,2900,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,0,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,2900,1450,0,1450,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,4350,1450,2900,1450,0,1450,1450,1450,2900,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,650,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,2800,1450,0,1450,1450,1450,1450,1450,1450,1450,2900,1450,0,0,1450,2900,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,2900,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
"AB.4",2900,0,1450,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1150,1450,1300,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
"FS.11",400,0,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,400,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,400,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,400,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"FS.3",4200,0,2100,2100,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,0,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,1600,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,4200,2100,0,2100,4200,2100,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,4200,2100,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,750,2100,2100,1550,2100,2100,2100,2100,2100,2100,2100,2100,2100,4200,2100,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,4200,2100,0,2100,2100,2100,2100,2100,2100,4200,2100,2100,3450,2100,0,2100,2100,2100,2100,2100,2100,2100,4200,2100,0,0,2100,4200,4200,2100,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,4200,2100,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
"FS.4",4100,0,2050,2050,0,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,0,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,1950,2050,2050,2050,2050,6150,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,300,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,0,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,4100,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
"LG.11",300,0,150,150,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,150,300,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,150,300,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,0,150,300,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
"LG.13",0,0,350,350,300,350,350,350,350,350,350,350,350,350,300,350,350,350,0,350,0,350,350,350,350,350,350,350,300,300,300,350,350,350,350,350,350,300,300,350,300,350,350,350,350,350,650,350,0,350,350,700,350,0,350,350,350,350,350,350,350,0,700,300,0,350,700,350,0,350,350,350,350,350,350,350,350,350,350,350,350,350,700,350,0,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,700,0,350,350,350,350,0,350,700,350,350,350,350,350,350,350,350,350,350,350,350,350,350,700,350,0,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,700,350,0,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,700,350,0,350,350,350,350,350,350,350,350,350,350,350
"LG.14",0,0,250,250,250,250,250,250,250,250,250,250,250,250,250,0,250,500,0,250,0,0,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,250,0,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,250,250,250,250,250,0,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,250,250,250,500,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,500,500,0,250,250,250,250,0,250,500,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
