,200710,200710,200711,200711,200712,200712,200801,200801,200802,200802,200803,200803,200804,200804,200805,200805,200806,200806,200807,200807,200808,200808,200809,200809,200810,200810,200811,200811,200812,200812,200901,200901,200902,200902,200903,200903,200904,200904,200905,200905,200906,200906,200907,200907,200908,200908,200909,200909,200910,200910,200911,200911,200912,200912,201001,201001,201002,201002,201003,201003,201004,201004,201005,201005,201006,201006,201007,201007,201008,201008,201009,201009,201010,201010,201011,201011,201012,201012,201101,201101,201102,201102,201103,201103,201104,201104,201105,201105,201106,201106,201107,201107,201108,201108,201109,201109,201110,201110,201111,201111,201112,201112,201201,201201,201202,201202,201203,201203,201204,201204,201205,201205,201206,201206,201207,201207,201208,201208,201209,201209,201210,201210,201211,201211,201212,201212,201301,201301,201302,201302,201303,201303,201304,201304,201305,201305,201306,201306,201307,201307,201308,201308,201309,201309,201310,201310,201311,201311,201312,201312,201401,201401,201402,201402,201403,201403,201404,201404,201405,201405,201406,201406,201407,201407,201408,201408,201409,201409,201410,201410,201411,201411,201412,201412,201501,201501,201502,201502,201503,201503,201504,201504,201505,201505,201506,201506,201507,201507,201508,201508,201509,201509,201510,201510,201511,201511,201512,201512
AB.I,NA,NA,3.333333333,3.333333333,26.66666667,26.66666667,3.333333333,3.333333333,10,10,3.333333333,3.333333333,11.66666667,11.66666667,16.66666667,16.66666667,36.66666667,36.66666667,8.333333333,8.333333333,21.66666667,21.66666667,50,50,53.33333333,53.33333333,33.33333333,33.33333333,31.66666667,31.66666667,16.66666667,16.66666667,15,15,18.33333333,18.33333333,10,10,8.333333333,8.333333333,15,15,41.66666667,41.66666667,40,40,40,40,8.333333333,8.333333333,36.66666667,36.66666667,58.33333333,58.33333333,86.66666667,86.66666667,78.33333333,78.33333333,50,50,21.66666667,21.66666667,13.33333333,13.33333333,10,10,23.33333333,23.33333333,3.333333333,3.333333333,10,10,6.666666667,6.666666667,8.333333333,8.333333333,5,5,8.333333333,8.333333333,11.66666667,11.66666667,16.66666667,16.66666667,20,20,23.33333333,23.33333333,5,5,46.66666667,46.66666667,40,40,33.33333333,33.33333333,13.33333333,13.33333333,8.333333333,8.333333333,26.66666667,26.66666667,18.33333333,18.33333333,20,20,13.33333333,13.33333333,13.33333333,13.33333333,3.333333333,3.333333333,15,15,16.66666667,16.66666667,11.66666667,11.66666667,21.66666667,21.66666667,35,35,36.66666667,36.66666667,71.66666667,71.66666667,80,80,26.66666667,26.66666667,30,30,18.33333333,18.33333333,25,25,28.33333333,28.33333333,26.66666667,26.66666667,25,25,10,10,15,15,21.66666667,21.66666667,40,40,40,40,28.33333333,28.33333333,15,15,11.66666667,11.66666667,60,60,80,80,118.3333333,118.3333333,76.66666667,76.66666667,45,45,43.33333333,43.33333333,36.66666667,36.66666667,33.33333333,33.33333333,31.66666667,31.66666667,25,25,30,30,13.33333333,13.33333333,8.333333333,8.333333333,15,15,11.66666667,11.66666667,11.66666667,11.66666667,30,30,13.33333333,13.33333333,30,30,48.33333333,48.33333333
AB.II,1.111111111,1.111111111,1.111111111,1.111111111,6.666666667,6.666666667,7.777777778,7.777777778,11.11111111,11.11111111,12.22222222,12.22222222,16.66666667,16.66666667,10,10,7.777777778,7.777777778,5.555555556,5.555555556,20,20,32.22222222,32.22222222,20,20,16.66666667,16.66666667,18.88888889,18.88888889,12.22222222,12.22222222,10,10,3.333333333,3.333333333,10,10,10,10,10,10,15.55555556,15.55555556,3.333333333,3.333333333,6.666666667,6.666666667,10,10,34.44444444,34.44444444,45.55555556,45.55555556,52.22222222,52.22222222,37.77777778,37.77777778,17.77777778,17.77777778,10,10,6.666666667,6.666666667,8.888888889,8.888888889,6.666666667,6.666666667,6.666666667,6.666666667,12.22222222,12.22222222,6.666666667,6.666666667,6.666666667,6.666666667,7.777777778,7.777777778,10,10,8.888888889,8.888888889,16.66666667,16.66666667,10,10,15.55555556,15.55555556,17.77777778,17.77777778,16.66666667,16.66666667,17.77777778,17.77777778,20,20,20,20,16.66666667,16.66666667,6.666666667,6.666666667,10,10,17.77777778,17.77777778,17.77777778,17.77777778,7.777777778,7.777777778,4.444444444,4.444444444,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,10,10,13.33333333,13.33333333,22.22222222,22.22222222,27.77777778,27.77777778,20,20,10,10,8.888888889,8.888888889,12.22222222,12.22222222,3.333333333,3.333333333,12.22222222,12.22222222,7.777777778,7.777777778,17.77777778,17.77777778,30,30,37.77777778,37.77777778,30,30,10,10,13.33333333,13.33333333,14.44444444,14.44444444,12.22222222,12.22222222,25.55555556,25.55555556,55.55555556,55.55555556,65.55555556,65.55555556,81.11111111,81.11111111,37.77777778,37.77777778,33.33333333,33.33333333,35.55555556,35.55555556,20,20,27.77777778,27.77777778,24.44444444,24.44444444,11.11111111,11.11111111,8.888888889,8.888888889,16.66666667,16.66666667,8.888888889,8.888888889,6.666666667,6.666666667,2.222222222,2.222222222,10,10,4.444444444,4.444444444,14.44444444,14.44444444,20,20,28.88888889,28.88888889
AB.I,NA,NA,3.333333333,3.333333333,26.66666667,26.66666667,3.333333333,3.333333333,10,10,3.333333333,3.333333333,11.66666667,11.66666667,16.66666667,16.66666667,36.66666667,36.66666667,8.333333333,8.333333333,21.66666667,21.66666667,50,50,53.33333333,53.33333333,33.33333333,33.33333333,31.66666667,31.66666667,16.66666667,16.66666667,15,15,18.33333333,18.33333333,10,10,8.333333333,8.333333333,15,15,41.66666667,41.66666667,40,40,40,40,8.333333333,8.333333333,36.66666667,36.66666667,58.33333333,58.33333333,86.66666667,86.66666667,78.33333333,78.33333333,50,50,21.66666667,21.66666667,13.33333333,13.33333333,10,10,23.33333333,23.33333333,3.333333333,3.333333333,10,10,6.666666667,6.666666667,8.333333333,8.333333333,5,5,8.333333333,8.333333333,11.66666667,11.66666667,16.66666667,16.66666667,20,20,23.33333333,23.33333333,5,5,46.66666667,46.66666667,40,40,33.33333333,33.33333333,13.33333333,13.33333333,8.333333333,8.333333333,26.66666667,26.66666667,18.33333333,18.33333333,20,20,13.33333333,13.33333333,13.33333333,13.33333333,3.333333333,3.333333333,15,15,16.66666667,16.66666667,11.66666667,11.66666667,21.66666667,21.66666667,35,35,36.66666667,36.66666667,71.66666667,71.66666667,80,80,26.66666667,26.66666667,30,30,18.33333333,18.33333333,25,25,28.33333333,28.33333333,26.66666667,26.66666667,25,25,10,10,15,15,21.66666667,21.66666667,40,40,40,40,28.33333333,28.33333333,15,15,11.66666667,11.66666667,60,60,80,80,118.3333333,118.3333333,76.66666667,76.66666667,45,45,43.33333333,43.33333333,36.66666667,36.66666667,33.33333333,33.33333333,31.66666667,31.66666667,25,25,30,30,13.33333333,13.33333333,8.333333333,8.333333333,15,15,11.66666667,11.66666667,11.66666667,11.66666667,30,30,13.33333333,13.33333333,30,30,48.33333333,48.33333333
AB.II,1.111111111,1.111111111,1.111111111,1.111111111,6.666666667,6.666666667,7.777777778,7.777777778,11.11111111,11.11111111,12.22222222,12.22222222,16.66666667,16.66666667,10,10,7.777777778,7.777777778,5.555555556,5.555555556,20,20,32.22222222,32.22222222,20,20,16.66666667,16.66666667,18.88888889,18.88888889,12.22222222,12.22222222,10,10,3.333333333,3.333333333,10,10,10,10,10,10,15.55555556,15.55555556,3.333333333,3.333333333,6.666666667,6.666666667,10,10,34.44444444,34.44444444,45.55555556,45.55555556,52.22222222,52.22222222,37.77777778,37.77777778,17.77777778,17.77777778,10,10,6.666666667,6.666666667,8.888888889,8.888888889,6.666666667,6.666666667,6.666666667,6.666666667,12.22222222,12.22222222,6.666666667,6.666666667,6.666666667,6.666666667,7.777777778,7.777777778,10,10,8.888888889,8.888888889,16.66666667,16.66666667,10,10,15.55555556,15.55555556,17.77777778,17.77777778,16.66666667,16.66666667,17.77777778,17.77777778,20,20,20,20,16.66666667,16.66666667,6.666666667,6.666666667,10,10,17.77777778,17.77777778,17.77777778,17.77777778,7.777777778,7.777777778,4.444444444,4.444444444,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,10,10,13.33333333,13.33333333,22.22222222,22.22222222,27.77777778,27.77777778,20,20,10,10,8.888888889,8.888888889,12.22222222,12.22222222,3.333333333,3.333333333,12.22222222,12.22222222,7.777777778,7.777777778,17.77777778,17.77777778,30,30,37.77777778,37.77777778,30,30,10,10,13.33333333,13.33333333,14.44444444,14.44444444,12.22222222,12.22222222,25.55555556,25.55555556,55.55555556,55.55555556,65.55555556,65.55555556,81.11111111,81.11111111,37.77777778,37.77777778,33.33333333,33.33333333,35.55555556,35.55555556,20,20,27.77777778,27.77777778,24.44444444,24.44444444,11.11111111,11.11111111,8.888888889,8.888888889,16.66666667,16.66666667,8.888888889,8.888888889,6.666666667,6.666666667,2.222222222,2.222222222,10,10,4.444444444,4.444444444,14.44444444,14.44444444,20,20,28.88888889,28.88888889
FS.I,1.333333333,1.333333333,8,8,19.33333333,19.33333333,28,28,7.333333333,7.333333333,24.66666667,24.66666667,28,28,41.33333333,41.33333333,16.66666667,16.66666667,3.333333333,3.333333333,22.66666667,22.66666667,26.66666667,26.66666667,31.33333333,31.33333333,29.33333333,29.33333333,34,34,42,42,16,16,30,30,24.66666667,24.66666667,36,36,34,34,14.66666667,14.66666667,19.33333333,19.33333333,17.33333333,17.33333333,11.33333333,11.33333333,44,44,55.33333333,55.33333333,59.33333333,59.33333333,35.33333333,35.33333333,24.66666667,24.66666667,24.66666667,24.66666667,15.33333333,15.33333333,24,24,26.66666667,26.66666667,26,26,22.66666667,22.66666667,24.66666667,24.66666667,25.33333333,25.33333333,24.66666667,24.66666667,20,20,19.33333333,19.33333333,23.33333333,23.33333333,32.66666667,32.66666667,30.66666667,30.66666667,27.33333333,27.33333333,29.33333333,29.33333333,34,34,33.33333333,33.33333333,18,18,20.66666667,20.66666667,29.33333333,29.33333333,23.33333333,23.33333333,19.33333333,19.33333333,30.66666667,30.66666667,22,22,12,12,34,34,36.66666667,36.66666667,30,30,17.33333333,17.33333333,28.66666667,28.66666667,42,42,43.33333333,43.33333333,30,30,23.33333333,23.33333333,24,24,20.66666667,20.66666667,16,16,12,12,10.66666667,10.66666667,23.33333333,23.33333333,32.66666667,32.66666667,26.66666667,26.66666667,25.33333333,25.33333333,40,40,25.33333333,25.33333333,15.33333333,15.33333333,19.33333333,19.33333333,30,30,57.33333333,57.33333333,71.33333333,71.33333333,74,74,43.33333333,43.33333333,34.66666667,34.66666667,19.33333333,19.33333333,28.66666667,28.66666667,35.33333333,35.33333333,45.33333333,45.33333333,34.66666667,34.66666667,23.33333333,23.33333333,32,32,28.66666667,28.66666667,14.66666667,14.66666667,15.33333333,15.33333333,28,28,32.66666667,32.66666667,34.66666667,34.66666667,25.33333333,25.33333333,42,42
FS.I,1.333333333,1.333333333,8,8,19.33333333,19.33333333,28,28,7.333333333,7.333333333,24.66666667,24.66666667,28,28,41.33333333,41.33333333,16.66666667,16.66666667,3.333333333,3.333333333,22.66666667,22.66666667,26.66666667,26.66666667,31.33333333,31.33333333,29.33333333,29.33333333,34,34,42,42,16,16,30,30,24.66666667,24.66666667,36,36,34,34,14.66666667,14.66666667,19.33333333,19.33333333,17.33333333,17.33333333,11.33333333,11.33333333,44,44,55.33333333,55.33333333,59.33333333,59.33333333,35.33333333,35.33333333,24.66666667,24.66666667,24.66666667,24.66666667,15.33333333,15.33333333,24,24,26.66666667,26.66666667,26,26,22.66666667,22.66666667,24.66666667,24.66666667,25.33333333,25.33333333,24.66666667,24.66666667,20,20,19.33333333,19.33333333,23.33333333,23.33333333,32.66666667,32.66666667,30.66666667,30.66666667,27.33333333,27.33333333,29.33333333,29.33333333,34,34,33.33333333,33.33333333,18,18,20.66666667,20.66666667,29.33333333,29.33333333,23.33333333,23.33333333,19.33333333,19.33333333,30.66666667,30.66666667,22,22,12,12,34,34,36.66666667,36.66666667,30,30,17.33333333,17.33333333,28.66666667,28.66666667,42,42,43.33333333,43.33333333,30,30,23.33333333,23.33333333,24,24,20.66666667,20.66666667,16,16,12,12,10.66666667,10.66666667,23.33333333,23.33333333,32.66666667,32.66666667,26.66666667,26.66666667,25.33333333,25.33333333,40,40,25.33333333,25.33333333,15.33333333,15.33333333,19.33333333,19.33333333,30,30,57.33333333,57.33333333,71.33333333,71.33333333,74,74,43.33333333,43.33333333,34.66666667,34.66666667,19.33333333,19.33333333,28.66666667,28.66666667,35.33333333,35.33333333,45.33333333,45.33333333,34.66666667,34.66666667,23.33333333,23.33333333,32,32,28.66666667,28.66666667,14.66666667,14.66666667,15.33333333,15.33333333,28,28,32.66666667,32.66666667,34.66666667,34.66666667,25.33333333,25.33333333,42,42
FS.I,1.333333333,1.333333333,8,8,19.33333333,19.33333333,28,28,7.333333333,7.333333333,24.66666667,24.66666667,28,28,41.33333333,41.33333333,16.66666667,16.66666667,3.333333333,3.333333333,22.66666667,22.66666667,26.66666667,26.66666667,31.33333333,31.33333333,29.33333333,29.33333333,34,34,42,42,16,16,30,30,24.66666667,24.66666667,36,36,34,34,14.66666667,14.66666667,19.33333333,19.33333333,17.33333333,17.33333333,11.33333333,11.33333333,44,44,55.33333333,55.33333333,59.33333333,59.33333333,35.33333333,35.33333333,24.66666667,24.66666667,24.66666667,24.66666667,15.33333333,15.33333333,24,24,26.66666667,26.66666667,26,26,22.66666667,22.66666667,24.66666667,24.66666667,25.33333333,25.33333333,24.66666667,24.66666667,20,20,19.33333333,19.33333333,23.33333333,23.33333333,32.66666667,32.66666667,30.66666667,30.66666667,27.33333333,27.33333333,29.33333333,29.33333333,34,34,33.33333333,33.33333333,18,18,20.66666667,20.66666667,29.33333333,29.33333333,23.33333333,23.33333333,19.33333333,19.33333333,30.66666667,30.66666667,22,22,12,12,34,34,36.66666667,36.66666667,30,30,17.33333333,17.33333333,28.66666667,28.66666667,42,42,43.33333333,43.33333333,30,30,23.33333333,23.33333333,24,24,20.66666667,20.66666667,16,16,12,12,10.66666667,10.66666667,23.33333333,23.33333333,32.66666667,32.66666667,26.66666667,26.66666667,25.33333333,25.33333333,40,40,25.33333333,25.33333333,15.33333333,15.33333333,19.33333333,19.33333333,30,30,57.33333333,57.33333333,71.33333333,71.33333333,74,74,43.33333333,43.33333333,34.66666667,34.66666667,19.33333333,19.33333333,28.66666667,28.66666667,35.33333333,35.33333333,45.33333333,45.33333333,34.66666667,34.66666667,23.33333333,23.33333333,32,32,28.66666667,28.66666667,14.66666667,14.66666667,15.33333333,15.33333333,28,28,32.66666667,32.66666667,34.66666667,34.66666667,25.33333333,25.33333333,42,42
LG.I,1.25,1.25,7.5,7.5,5,5,5,5,10,10,7.5,7.5,12.5,12.5,26.25,26.25,12.5,12.5,1.25,1.25,18.75,18.75,18.75,18.75,20,20,13.75,13.75,13.75,13.75,10,10,12.5,12.5,6.25,6.25,10,10,5,5,15,15,5,5,6.25,6.25,6.25,6.25,11.25,11.25,23.75,23.75,46.25,46.25,45,45,41.25,41.25,22.5,22.5,18.75,18.75,11.25,11.25,5,5,0,0,6.25,6.25,2.5,2.5,3.75,3.75,10,10,13.75,13.75,8.75,8.75,8.75,8.75,6.25,6.25,5,5,11.25,11.25,12.5,12.5,23.75,23.75,22.5,22.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,11.25,11.25,11.25,11.25,15,15,7.5,7.5,7.5,7.5,10,10,12.5,12.5,13.75,13.75,18.75,18.75,26.25,26.25,25,25,22.5,22.5,30,30,26.25,26.25,12.5,12.5,17.5,17.5,17.5,17.5,11.25,11.25,15,15,10,10,8.75,8.75,12.5,12.5,18.75,18.75,16.25,16.25,8.75,8.75,3.75,3.75,7.5,7.5,15,15,31.25,31.25,80,80,112.5,112.5,66.25,66.25,13.75,13.75,16.25,16.25,25,25,27.5,27.5,22.5,22.5,15,15,17.5,17.5,5,5,12.5,12.5,6.25,6.25,7.5,7.5,2.5,2.5,6.25,6.25,11.25,11.25,21.25,21.25,22.5,22.5
LG.I,1.25,1.25,7.5,7.5,5,5,5,5,10,10,7.5,7.5,12.5,12.5,26.25,26.25,12.5,12.5,1.25,1.25,18.75,18.75,18.75,18.75,20,20,13.75,13.75,13.75,13.75,10,10,12.5,12.5,6.25,6.25,10,10,5,5,15,15,5,5,6.25,6.25,6.25,6.25,11.25,11.25,23.75,23.75,46.25,46.25,45,45,41.25,41.25,22.5,22.5,18.75,18.75,11.25,11.25,5,5,0,0,6.25,6.25,2.5,2.5,3.75,3.75,10,10,13.75,13.75,8.75,8.75,8.75,8.75,6.25,6.25,5,5,11.25,11.25,12.5,12.5,23.75,23.75,22.5,22.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,11.25,11.25,11.25,11.25,15,15,7.5,7.5,7.5,7.5,10,10,12.5,12.5,13.75,13.75,18.75,18.75,26.25,26.25,25,25,22.5,22.5,30,30,26.25,26.25,12.5,12.5,17.5,17.5,17.5,17.5,11.25,11.25,15,15,10,10,8.75,8.75,12.5,12.5,18.75,18.75,16.25,16.25,8.75,8.75,3.75,3.75,7.5,7.5,15,15,31.25,31.25,80,80,112.5,112.5,66.25,66.25,13.75,13.75,16.25,16.25,25,25,27.5,27.5,22.5,22.5,15,15,17.5,17.5,5,5,12.5,12.5,6.25,6.25,7.5,7.5,2.5,2.5,6.25,6.25,11.25,11.25,21.25,21.25,22.5,22.5
