"","Obs.dist","Obs.Site","Rep.ID"
"199",7,"FS.3","201103A"
"200",0,"LG.5","201103A"
"201",20,"MO.9","201103A"
"202",15,"LG.5","201103B"
"203",8,"AB.3","201104B"
"204",0,"MO.7","201104B"
"205",20,"FS.4","201105A"
"206",0,"PS.2","201105B"
"207",5,"PS.1","201106A"
"208",18,"MO.10","201106B"
"209",20,"AB.12","201106B"
"210",20,"AB.3","201107A"
"211",35,"AB.3","201107A"
"212",5,"PS.1","201107A"
"213",3,"FS.4","201107A"
"214",35,"LG.6","201107A"
"215",3,"LS.12","201107B"
"216",20,"LG.5","201108A"
"217",2,"UG.8","201108B"
"218",2,"PS.1","201109A"
"219",4,"PS.1","201109B"
"220",20,"PS.2","201109B"
"221",15,"LG.6","201109B"
"222",25,"LS.12","201110A"
"223",20,"UG.8","201110B"
"224",2,"AB.4","201110B"
"225",20,"AB.3","201111B"
"226",4,"LG.5","201111B"
"227",20,"LS.12","201112B"
"228",10,"FS.3","201111A"
"229",10,"LG.6","201111A"
"230",3,"PS.1","201112A"
"231",25,"FS.4","201112B"
"232",10,"PS.2","201204A"
"233",2,"PS.2","201204B"
"234",3,"PS.2","201204B"
"235",30,"PS.2","201201B"
"236",20,"PS.1","201202A"
"237",2,"PS.2","201202B"
"238",18,"AB.3","201202B"
"239",20,"AB.3","201203A"
"240",6,"PS.2","201203A"
"241",0,"PS.1","201203B"
"242",7,"PS.1","201203B"
"243",0,"LS.12","201206A"
"244",2,"LS.11","201206B"
"245",2,"AB.12","201206B"
"246",30,"LG.5","201207B"
"247",10,"AB.3","201207A"
"248",10,"LG.6","201208A"
"249",20,"AB.12","201208B"
"250",20,"LS.6","201209A"
"251",28,"LS.6","201209A"
"252",4,"LS.11","201209B"
"253",8,"FS.3","201210A"
"254",22,"AB.3","201210A"
"255",3,"LS.5","201210A"
"256",10,"UG.8","201210A"
"257",20,"AB.12","201210B"
"258",40,"LS.11","201211B"
"259",20,"FS.4","201211A"
"260",10,"AB.12","201211B"
"261",20,"FS.3","201211B"
"262",10,"LS.11","201211B"
"263",2,"FS.3","201212A"
"264",2,"LG.5","201212A"
"265",20,"AB.4","201212A"
"266",3,"AB.11","201212A"
"267",20,"AB.3","201212B"
"268",4,"AB.4","201212B"
"269",25,"UG.7","201212B"
"270",15,"AB.3","201301A"
"271",30,"PS.1","201301A"
"272",2,"PS.1","201301A"
"273",2,"AB.12","201301A"
"274",20,"LS.12","201301A"
"275",0,"AB.12","201301A"
"276",10,"PS.2","201301B"
"277",10,"LS.11","201301B"
"278",20,"UG.8","201301B"
"279",30,"LS.12","201301A"
"280",25,"LS.12","201301A"
